rokyo(84) 8484 5.90% 10365 4.24% 12,756 3.23% 14,956 368%
Osaka(37) 4,455 5.18% 5,180 3.76% 8,231 3.51% 7,403 3.74%
Nagoya(19) 1,832 3.97% 2,059 3.04% 2,391 3.09% 2,783 3.05%
Kyoto(7) 1,330 2.41% 1,429 1.49% 1,539 1.12% 1,627 1.73%
Kitakyushu(5) 959 4.78% 1,103 2.91% 1,273 2.01% 1,407 0.73%
Hiroshtma(3) 633 3.97% 712 2.19% 793 1.76% 866 2.52%
Okayamalkurashiki(2) 858 1.64% 691 1.24% 735 0.86% 767 1.33%
Fukuoka(3) 462 5.33% 5.40 3.90% 654 2.82% 751 2.72%
Maebashi/Takasaki(4) 610 1.08% 630 0.43% 643 0.06% 645 1.18%
Shszuoka(3) 519 2.90% 566 2.05% 626 1.76% 683 1,86%
Sapporo(2) 384 4.63% 440 4.42% 546 4.48% 680 5,68%
Sertdai(5) 425 4.02% 478 1.74% 521 1.97% 575 2.39%
Hamamatsu(4) 419 2.56% 452 2.00% 499 1.35% 534 1.45%
Nagasaki(2) 376 3.93% 422 2.43% 476 1.47% 512 0.76%
Gifu(3) 392 2.16% 417 2.14% 464 1.98% 512 2.37%
Himeji(2) 410 1.83% 433 1.22% 460 1.25% 490 2.30%
Toyama(3) 411 1.98% 436 0.83% 454 0.77% 472 0.68%
Niigata(3) 383 1.92% 406 1.04% 427 1.01% 450 1.25%
b<umamoto(2) 362 2.07% 385 2.09% 427 1.07% 450 1.25%
NumazwFuji(3) 353 1.46% 368 1.61% 399 1.86% 437 2.16%
MitolHitachi(3) 332 1.62% 349 1.57% 377 2.05% 417 1.89%
Nagano(3) 362 0.48% 367 0.06% 368 0.14% 371 0.65%
Tokushima(3) 330 1.87% 349 0.76% 362 0.21% 366 0.41%
Takamatsu(2) 319 2.51% 3.44 0.96% 360 0.37% 367 0.58%
Wakayama(2) 309 2.13% 329 1.48% 354 1.03% 373 2.16%
Iwaki 314 2.74% 340 0.65% 351 -0.33% 346 -0.69%
Toyohashi(2) 287 2.55% 309 1.75% 337 1.13% 357 2.07%
Kanazawa(1) 295 1.98% 313 1.01% 329 0.79% 342 1.34%
Kagoshima 242 3.72% 270 3.10% 314 1.28% 335 2.09%
Fukuyama(1) 289 0.83% 296 0.62% 306 0.85% 319 1.19°k
Nagaoka(3) 285 1.44% 298 0.48% 305 0.32% 310 0.48%
Matsuyama(2) 260 2.25% 278 1.66% 302 1.26% 321 1.55%
Koriyama 274 1.36% 286 0.77% 297 0.39% 302 0.55%
Fukui(2) 262 2.86% 285 0.52% 293 0.86% 306 0.82%
Nara(3) 278 -1.32% 267 0.75% 277 0.38% 283 263%
Yokkaichi(1) 247 1.68% 260 1.00% 273 1.42% 293 2.14%
Hakodate 240 1.80% 253 1.17% 268 0.24% 271 0.72%
Sasebo 206 3.39% 228 2.99% 264 -0.11% 262 -1.20%
Kochi(2) 231 2.10% 246 1.34% 263 0.88% 274 1.44%
¼sahikawa(1) 204 3.37% 225 2.69% 257 1.82% 281 2.08%